"phenocode","phenostring"
"FA_SFO_PC5","fifth FA PC in superior fronto-occipital fasciculus"
"FA_SLF_PC1","first FA PC in superior longitudinal fasciculus"
"FA_SLF_PC2","second FA PC in superior longitudinal fasciculus"
"FA_SLF_PC3","third FA PC in superior longitudinal fasciculus"
"FA_SLF_PC4","fourth FA PC in superior longitudinal fasciculus"
"FA_SLF_PC5","fifth FA PC in superior longitudinal fasciculus"
"FA_SS_PC1","first FA PC in sagittal stratum"
"FA_SS_PC2","second FA PC in sagittal stratum"
"FA_SS_PC3","third FA PC in sagittal stratum"
"FA_SS_PC4","fourth FA PC in sagittal stratum"
"FA_SS_PC5","fifth FA PC in sagittal stratum"
"FA_UNC_PC1","first FA PC in uncinate fasciculus"
"FA_UNC_PC2","second FA PC in uncinate fasciculus"
"FA_UNC_PC3","third FA PC in uncinate fasciculus"
"FA_UNC_PC4","fourth FA PC in uncinate fasciculus"
"FA_UNC_PC5","fifth FA PC in uncinate fasciculus"
"AD_ACR_PC1","first AD PC in anterior corona radiata"
"AD_ACR_PC2","second AD PC in anterior corona radiata"
"AD_ACR_PC3","third AD PC in anterior corona radiata"
"AD_ACR_PC4","fourth AD PC in anterior corona radiata"
"AD_ACR_PC5","fifth AD PC in anterior corona radiata"
"AD_ALIC_PC1","first AD PC in anterior limb of internal capsule"
"AD_ALIC_PC2","second AD PC in anterior limb of internal capsule"
"AD_ALIC_PC3","third AD PC in anterior limb of internal capsule"
"AD_ALIC_PC4","fourth AD PC in anterior limb of internal capsule"
"AD_ALIC_PC5","fifth AD PC in anterior limb of internal capsule"
"AD_BCC_PC1","first AD PC in body of corpus callosum"
"AD_BCC_PC2","second AD PC in body of corpus callosum"
"AD_BCC_PC3","third AD PC in body of corpus callosum"
"AD_BCC_PC4","fourth AD PC in body of corpus callosum"
"AD_BCC_PC5","fifth AD PC in body of corpus callosum"
"AD_CGC_PC1","first AD PC in cingulum (cingulate gyrus) "
"AD_CGC_PC2","second AD PC in cingulum (cingulate gyrus) "
"AD_CGC_PC3","third AD PC in cingulum (cingulate gyrus) "
"AD_CGC_PC4","fourth AD PC in cingulum (cingulate gyrus) "
"AD_CGC_PC5","fifth AD PC in cingulum (cingulate gyrus) "
"AD_CGH_PC1","first AD PC in cingulum (hippocampus) "
"AD_CGH_PC2","second AD PC in cingulum (hippocampus) "
"AD_CGH_PC3","third AD PC in cingulum (hippocampus) "
"AD_CGH_PC4","fourth AD PC in cingulum (hippocampus) "
"AD_CGH_PC5","fifth AD PC in cingulum (hippocampus) "
"AD_CST_PC1","first AD PC in corticospinal tract "
"AD_CST_PC2","second AD PC in corticospinal tract "
"AD_CST_PC3","third AD PC in corticospinal tract "
"AD_CST_PC4","fourth AD PC in corticospinal tract "
"AD_CST_PC5","fifth AD PC in corticospinal tract "
"AD_EC_PC1","first AD PC in external capsule "
"AD_EC_PC2","second AD PC in external capsule "
"AD_EC_PC3","third AD PC in external capsule "
"AD_EC_PC4","fourth AD PC in external capsule "
"AD_EC_PC5","fifth AD PC in external capsule "
"AD_FX_PC1","first AD PC in fornix (column and body of fornix)"
"AD_FX_PC2","second AD PC in fornix (column and body of fornix)"
"AD_FX_PC3","third AD PC in fornix (column and body of fornix)"
"AD_FX_PC4","fourth AD PC in fornix (column and body of fornix)"
"AD_FX_PC5","fifth AD PC in fornix (column and body of fornix)"
"AD_FXST_PC1","first AD PC in fornix-stria terminalis"
"AD_FXST_PC2","second AD PC in fornix-stria terminalis"
"AD_FXST_PC3","third AD PC in fornix-stria terminalis"
"AD_FXST_PC4","fourth AD PC in fornix-stria terminalis"
"AD_FXST_PC5","fifth AD PC in fornix-stria terminalis"
"AD_GCC_PC1","first AD PC in genu of corpus callosum"
"AD_GCC_PC2","second AD PC in genu of corpus callosum"
"AD_GCC_PC3","third AD PC in genu of corpus callosum"
"AD_GCC_PC4","fourth AD PC in genu of corpus callosum"
"AD_GCC_PC5","fifth AD PC in genu of corpus callosum"
"AD_IFO_PC1","first AD PC in inferior fronto-occipital fasciculus"
"AD_IFO_PC2","second AD PC in inferior fronto-occipital fasciculus"
"AD_IFO_PC3","third AD PC in inferior fronto-occipital fasciculus"
"AD_IFO_PC4","fourth AD PC in inferior fronto-occipital fasciculus"
"AD_IFO_PC5","fifth AD PC in inferior fronto-occipital fasciculus"
"AD_PCR_PC1","first AD PC in posterior corona radiata "
"AD_PCR_PC2","second AD PC in posterior corona radiata "
"AD_PCR_PC3","third AD PC in posterior corona radiata "
"AD_PCR_PC4","fourth AD PC in posterior corona radiata "
"AD_PCR_PC5","fifth AD PC in posterior corona radiata "
"AD_PLIC_PC1","first AD PC in posterior limb of internal capsule"
"AD_PLIC_PC2","second AD PC in posterior limb of internal capsule"
"AD_PLIC_PC3","third AD PC in posterior limb of internal capsule"
"AD_PLIC_PC4","fourth AD PC in posterior limb of internal capsule"
"AD_PLIC_PC5","fifth AD PC in posterior limb of internal capsule"
"AD_PTR_PC1","first AD PC in posterior thalamic radiation"
"AD_PTR_PC2","second AD PC in posterior thalamic radiation"
"AD_PTR_PC3","third AD PC in posterior thalamic radiation"
"AD_PTR_PC4","fourth AD PC in posterior thalamic radiation"
"AD_PTR_PC5","fifth AD PC in posterior thalamic radiation"
"AD_RLIC_PC1","first AD PC in retrolenticular part of internal capsule"
"AD_RLIC_PC2","second AD PC in retrolenticular part of internal capsule"
"AD_RLIC_PC3","third AD PC in retrolenticular part of internal capsule"
"AD_RLIC_PC4","fourth AD PC in retrolenticular part of internal capsule"
"AD_RLIC_PC5","fifth AD PC in retrolenticular part of internal capsule"
"AD_SCC_PC1","first AD PC in splenium of corpus callosum"
"AD_SCC_PC2","second AD PC in splenium of corpus callosum"
"AD_SCC_PC3","third AD PC in splenium of corpus callosum"
"AD_SCC_PC4","fourth AD PC in splenium of corpus callosum"
"AD_SCC_PC5","fifth AD PC in splenium of corpus callosum"
"AD_SCR_PC1","first AD PC in superior corona radiata"
"AD_SCR_PC2","second AD PC in superior corona radiata"
"AD_SCR_PC3","third AD PC in superior corona radiata"
"AD_SCR_PC4","fourth AD PC in superior corona radiata"
"AD_SCR_PC5","fifth AD PC in superior corona radiata"
"AD_SFO_PC1","first AD PC in superior fronto-occipital fasciculus"
"AD_SFO_PC2","second AD PC in superior fronto-occipital fasciculus"
"AD_SFO_PC3","third AD PC in superior fronto-occipital fasciculus"
"AD_SFO_PC4","fourth AD PC in superior fronto-occipital fasciculus"
"AD_SFO_PC5","fifth AD PC in superior fronto-occipital fasciculus"
"AD_SLF_PC1","first AD PC in superior longitudinal fasciculus"
"AD_SLF_PC2","second AD PC in superior longitudinal fasciculus"
"AD_SLF_PC3","third AD PC in superior longitudinal fasciculus"
"AD_SLF_PC4","fourth AD PC in superior longitudinal fasciculus"
"AD_SLF_PC5","fifth AD PC in superior longitudinal fasciculus"
"AD_SS_PC1","first AD PC in sagittal stratum"
"AD_SS_PC2","second AD PC in sagittal stratum"
"AD_SS_PC3","third AD PC in sagittal stratum"
"AD_SS_PC4","fourth AD PC in sagittal stratum"
"AD_SS_PC5","fifth AD PC in sagittal stratum"
"AD_UNC_PC1","first AD PC in uncinate fasciculus"
"AD_UNC_PC2","second AD PC in uncinate fasciculus"
"AD_UNC_PC3","third AD PC in uncinate fasciculus"
"AD_UNC_PC4","fourth AD PC in uncinate fasciculus"
"AD_UNC_PC5","fifth AD PC in uncinate fasciculus"
"MD_ACR_PC1","first MD PC in anterior corona radiata"
"MD_ACR_PC2","second MD PC in anterior corona radiata"
"MD_ACR_PC3","third MD PC in anterior corona radiata"
"MD_ACR_PC4","fourth MD PC in anterior corona radiata"
"MD_ACR_PC5","fifth MD PC in anterior corona radiata"
"MD_ALIC_PC1","first MD PC in anterior limb of internal capsule"
"MD_ALIC_PC2","second MD PC in anterior limb of internal capsule"
"MD_ALIC_PC3","third MD PC in anterior limb of internal capsule"
"MD_ALIC_PC4","fourth MD PC in anterior limb of internal capsule"
"MD_ALIC_PC5","fifth MD PC in anterior limb of internal capsule"
"MD_BCC_PC1","first MD PC in body of corpus callosum"
"MD_BCC_PC2","second MD PC in body of corpus callosum"
"MD_BCC_PC3","third MD PC in body of corpus callosum"
"MD_BCC_PC4","fourth MD PC in body of corpus callosum"
"MD_BCC_PC5","fifth MD PC in body of corpus callosum"
"MD_CGC_PC1","first MD PC in cingulum (cingulate gyrus) "
"MD_CGC_PC2","second MD PC in cingulum (cingulate gyrus) "
"MD_CGC_PC3","third MD PC in cingulum (cingulate gyrus) "
"MD_CGC_PC4","fourth MD PC in cingulum (cingulate gyrus) "
"MD_CGC_PC5","fifth MD PC in cingulum (cingulate gyrus) "
"MD_CGH_PC1","first MD PC in cingulum (hippocampus) "
"MD_CGH_PC2","second MD PC in cingulum (hippocampus) "
"MD_CGH_PC3","third MD PC in cingulum (hippocampus) "
"MD_CGH_PC4","fourth MD PC in cingulum (hippocampus) "
"MD_CGH_PC5","fifth MD PC in cingulum (hippocampus) "
"MD_CST_PC1","first MD PC in corticospinal tract "
"MD_CST_PC2","second MD PC in corticospinal tract "
"MD_CST_PC3","third MD PC in corticospinal tract "
"MD_CST_PC4","fourth MD PC in corticospinal tract "
"MD_CST_PC5","fifth MD PC in corticospinal tract "
"MD_EC_PC1","first MD PC in external capsule "
"MD_EC_PC2","second MD PC in external capsule "
"MD_EC_PC3","third MD PC in external capsule "
"MD_EC_PC4","fourth MD PC in external capsule "
"MD_EC_PC5","fifth MD PC in external capsule "
"MD_FX_PC1","first MD PC in fornix (column and body of fornix)"
"MD_FX_PC2","second MD PC in fornix (column and body of fornix)"
"MD_FX_PC3","third MD PC in fornix (column and body of fornix)"
"MD_FX_PC4","fourth MD PC in fornix (column and body of fornix)"
"MD_FX_PC5","fifth MD PC in fornix (column and body of fornix)"
"MD_FXST_PC1","first MD PC in fornix-stria terminalis"
"MD_FXST_PC2","second MD PC in fornix-stria terminalis"
"MD_FXST_PC3","third MD PC in fornix-stria terminalis"
"MD_FXST_PC4","fourth MD PC in fornix-stria terminalis"
"MD_FXST_PC5","fifth MD PC in fornix-stria terminalis"
"MD_GCC_PC1","first MD PC in genu of corpus callosum"
"MD_GCC_PC2","second MD PC in genu of corpus callosum"
"MD_GCC_PC3","third MD PC in genu of corpus callosum"
"MD_GCC_PC4","fourth MD PC in genu of corpus callosum"
"MD_GCC_PC5","fifth MD PC in genu of corpus callosum"
"MD_IFO_PC1","first MD PC in inferior fronto-occipital fasciculus"
"MD_IFO_PC2","second MD PC in inferior fronto-occipital fasciculus"
"MD_IFO_PC3","third MD PC in inferior fronto-occipital fasciculus"
"MD_IFO_PC4","fourth MD PC in inferior fronto-occipital fasciculus"
"MD_IFO_PC5","fifth MD PC in inferior fronto-occipital fasciculus"
"MD_PCR_PC1","first MD PC in posterior corona radiata "
"MD_PCR_PC2","second MD PC in posterior corona radiata "
"MD_PCR_PC3","third MD PC in posterior corona radiata "
"MD_PCR_PC4","fourth MD PC in posterior corona radiata "
"MD_PCR_PC5","fifth MD PC in posterior corona radiata "
"MD_PLIC_PC1","first MD PC in posterior limb of internal capsule"
"MD_PLIC_PC2","second MD PC in posterior limb of internal capsule"
"MD_PLIC_PC3","third MD PC in posterior limb of internal capsule"
"MD_PLIC_PC4","fourth MD PC in posterior limb of internal capsule"
"MD_PLIC_PC5","fifth MD PC in posterior limb of internal capsule"
"MD_PTR_PC1","first MD PC in posterior thalamic radiation"
"MD_PTR_PC2","second MD PC in posterior thalamic radiation"
"MD_PTR_PC3","third MD PC in posterior thalamic radiation"
"MD_PTR_PC4","fourth MD PC in posterior thalamic radiation"
"MD_PTR_PC5","fifth MD PC in posterior thalamic radiation"
"MD_RLIC_PC1","first MD PC in retrolenticular part of internal capsule"
"MD_RLIC_PC2","second MD PC in retrolenticular part of internal capsule"
"MD_RLIC_PC3","third MD PC in retrolenticular part of internal capsule"
"MD_RLIC_PC4","fourth MD PC in retrolenticular part of internal capsule"
"MD_RLIC_PC5","fifth MD PC in retrolenticular part of internal capsule"
"MD_SCC_PC1","first MD PC in splenium of corpus callosum"
"MD_SCC_PC2","second MD PC in splenium of corpus callosum"
"MD_SCC_PC3","third MD PC in splenium of corpus callosum"
"MD_SCC_PC4","fourth MD PC in splenium of corpus callosum"
"MD_SCC_PC5","fifth MD PC in splenium of corpus callosum"
"MD_SCR_PC1","first MD PC in superior corona radiata"
"MD_SCR_PC2","second MD PC in superior corona radiata"
"MD_SCR_PC3","third MD PC in superior corona radiata"
"MD_SCR_PC4","fourth MD PC in superior corona radiata"
"MD_SCR_PC5","fifth MD PC in superior corona radiata"
"MD_SFO_PC1","first MD PC in superior fronto-occipital fasciculus"
"MD_SFO_PC2","second MD PC in superior fronto-occipital fasciculus"
"MD_SFO_PC3","third MD PC in superior fronto-occipital fasciculus"
"MD_SFO_PC4","fourth MD PC in superior fronto-occipital fasciculus"
"MD_SFO_PC5","fifth MD PC in superior fronto-occipital fasciculus"
"MD_SLF_PC1","first MD PC in superior longitudinal fasciculus"
"MD_SLF_PC2","second MD PC in superior longitudinal fasciculus"
"MD_SLF_PC3","third MD PC in superior longitudinal fasciculus"
"MD_SLF_PC4","fourth MD PC in superior longitudinal fasciculus"
"MD_SLF_PC5","fifth MD PC in superior longitudinal fasciculus"
"MD_SS_PC1","first MD PC in sagittal stratum"
"MD_SS_PC2","second MD PC in sagittal stratum"
"MD_SS_PC3","third MD PC in sagittal stratum"
"MD_SS_PC4","fourth MD PC in sagittal stratum"
"MD_SS_PC5","fifth MD PC in sagittal stratum"
"MD_UNC_PC1","first MD PC in uncinate fasciculus"
"MD_UNC_PC2","second MD PC in uncinate fasciculus"
"MD_UNC_PC3","third MD PC in uncinate fasciculus"
"MD_UNC_PC4","fourth MD PC in uncinate fasciculus"
"MD_UNC_PC5","fifth MD PC in uncinate fasciculus"
"MO_ACR_PC1","first MO PC in anterior corona radiata"
"MO_ACR_PC2","second MO PC in anterior corona radiata"
"MO_ACR_PC3","third MO PC in anterior corona radiata"
"MO_ACR_PC4","fourth MO PC in anterior corona radiata"
"MO_ACR_PC5","fifth MO PC in anterior corona radiata"
"MO_ALIC_PC1","first MO PC in anterior limb of internal capsule"
"MO_ALIC_PC2","second MO PC in anterior limb of internal capsule"
"MO_ALIC_PC3","third MO PC in anterior limb of internal capsule"
"MO_ALIC_PC4","fourth MO PC in anterior limb of internal capsule"
"MO_ALIC_PC5","fifth MO PC in anterior limb of internal capsule"
"MO_BCC_PC1","first MO PC in body of corpus callosum"
"MO_BCC_PC2","second MO PC in body of corpus callosum"
"MO_BCC_PC3","third MO PC in body of corpus callosum"
"MO_BCC_PC4","fourth MO PC in body of corpus callosum"
"MO_BCC_PC5","fifth MO PC in body of corpus callosum"
"MO_CGC_PC1","first MO PC in cingulum (cingulate gyrus) "
"MO_CGC_PC2","second MO PC in cingulum (cingulate gyrus) "
"MO_CGC_PC3","third MO PC in cingulum (cingulate gyrus) "
"MO_CGC_PC4","fourth MO PC in cingulum (cingulate gyrus) "
"MO_CGC_PC5","fifth MO PC in cingulum (cingulate gyrus) "
"MO_CGH_PC1","first MO PC in cingulum (hippocampus) "
"MO_CGH_PC2","second MO PC in cingulum (hippocampus) "
"MO_CGH_PC3","third MO PC in cingulum (hippocampus) "
"MO_CGH_PC4","fourth MO PC in cingulum (hippocampus) "
"MO_CGH_PC5","fifth MO PC in cingulum (hippocampus) "
"MO_CST_PC1","first MO PC in corticospinal tract "
"MO_CST_PC2","second MO PC in corticospinal tract "
"MO_CST_PC3","third MO PC in corticospinal tract "
"MO_CST_PC4","fourth MO PC in corticospinal tract "
"MO_CST_PC5","fifth MO PC in corticospinal tract "
"MO_EC_PC1","first MO PC in external capsule "
"MO_EC_PC2","second MO PC in external capsule "
"MO_EC_PC3","third MO PC in external capsule "
"MO_EC_PC4","fourth MO PC in external capsule "
"MO_EC_PC5","fifth MO PC in external capsule "
"MO_FX_PC1","first MO PC in fornix (column and body of fornix)"
"MO_FX_PC2","second MO PC in fornix (column and body of fornix)"
"MO_FX_PC3","third MO PC in fornix (column and body of fornix)"
"MO_FX_PC4","fourth MO PC in fornix (column and body of fornix)"
"MO_FX_PC5","fifth MO PC in fornix (column and body of fornix)"
"MO_FXST_PC1","first MO PC in fornix-stria terminalis"
"MO_FXST_PC2","second MO PC in fornix-stria terminalis"
"MO_FXST_PC3","third MO PC in fornix-stria terminalis"
"MO_FXST_PC4","fourth MO PC in fornix-stria terminalis"
"MO_FXST_PC5","fifth MO PC in fornix-stria terminalis"
"MO_GCC_PC1","first MO PC in genu of corpus callosum"
"MO_GCC_PC2","second MO PC in genu of corpus callosum"
"MO_GCC_PC3","third MO PC in genu of corpus callosum"
"MO_GCC_PC4","fourth MO PC in genu of corpus callosum"
"MO_GCC_PC5","fifth MO PC in genu of corpus callosum"
"MO_IFO_PC1","first MO PC in inferior fronto-occipital fasciculus"
